name	location
hCoV-19/Australia/QLD0x015D9B/2025	Australia
hCoV-19/Australia/QLD0x015DA9/2025	Australia
hCoV-19/England/CLIMB-CM7Y8Z5E/2025	United Kingdom
hCoV-19/Australia/WA17429/2025	Australia
hCoV-19/Germany/NI-RKI-I-1149659/2025	Germany
hCoV-19/Germany/NW-RKI-I-1149690/2025	Germany
hCoV-19/Germany/BE-RKI-I-1149691/2025	Germany
hCoV-19/Germany/BE-RKI-I-1149695/2025	Germany
hCoV-19/Germany/BE-RKI-I-1149713/2025	Germany
hCoV-19/Germany/TH-RKI-I-1149720/2025	Germany
hCoV-19/Germany/NI-RKI-I-1149731/2025	Germany
hCoV-19/Germany/BB-RKI-I-1149740/2025	Germany
